team,10/16/2018,10/17/2018,10/18/2018,10/19/2018,10/20/2018,10/21/2018,10/22/2018,10/23/2018,10/24/2018,10/25/2018,10/26/2018,10/27/2018,10/28/2018,10/29/2018,10/30/2018,10/31/2018,11/1/2018,11/2/2018,11/3/2018,11/4/2018,11/5/2018,11/6/2018,11/7/2018,11/8/2018,11/9/2018,11/10/2018,11/11/2018,11/12/2018,11/13/2018,11/14/2018,11/15/2018,11/16/2018,11/17/2018,11/18/2018,11/19/2018,11/20/2018,11/21/2018,11/22/2018,11/23/2018,11/24/2018,11/25/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/1/2018,12/2/2018,12/3/2018,12/4/2018,12/5/2018,12/6/2018,12/7/2018,12/8/2018,12/9/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/15/2018,12/16/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/23/2018,12/24/2018,12/25/2018,12/26/2018,12/27/2018,12/28/2018,12/29/2018,12/30/2018,12/31/2018,1/1/2019,1/2/2019,1/3/2019,1/4/2019,1/5/2019,1/6/2019,1/7/2019,1/8/2019,1/9/2019,1/10/2019,1/11/2019,1/12/2019,1/13/2019,1/14/2019,1/15/2019,1/16/2019,1/17/2019,1/18/2019,1/19/2019,1/20/2019,1/21/2019,1/22/2019,1/23/2019,1/24/2019,1/25/2019,1/26/2019,1/27/2019,1/28/2019,1/29/2019,1/30/2019,1/31/2019,2/1/2019,2/2/2019,2/3/2019,2/4/2019,2/5/2019,2/6/2019,2/7/2019,2/8/2019,2/9/2019,2/10/2019,2/11/2019,2/12/2019,2/13/2019,2/14/2019,2/15/2019,2/16/2019,2/17/2019,2/18/2019,2/19/2019,2/20/2019,2/21/2019,2/22/2019,2/23/2019,2/24/2019,2/25/2019,2/26/2019,2/27/2019,2/28/2019,3/1/2019,3/2/2019,3/3/2019,3/4/2019,3/5/2019,3/6/2019,3/7/2019,3/8/2019,3/9/2019,3/10/2019,3/11/2019,3/12/2019,3/13/2019,3/14/2019,3/15/2019,3/16/2019,3/17/2019,3/18/2019,3/19/2019,3/20/2019,3/21/2019,3/22/2019,3/23/2019,3/24/2019,3/25/2019,3/26/2019,3/27/2019,3/28/2019,3/29/2019,3/30/2019,3/31/2019,4/1/2019,4/2/2019,4/3/2019,4/4/2019,4/5/2019,4/6/2019,4/7/2019,4/8/2019,4/9/2019,4/10/2019,4/11/2019,4/12/2019,4/13/2019,4/14/2019,4/15/2019,4/16/2019,4/17/2019,4/18/2019,4/19/2019,4/20/2019,4/21/2019
Portland,,,,,,,,,,Portland@Orlando,,Portland@Miami,,Portland@Indianapolis,Portland@Houston,,,,,,,,,,,,,,,Portland@LAL,,Portland@Minneapolis,,Portland@Washington,,Portland@New York,Portland@Milwakee,,Portland@Oakland,,,,,,,,,Portland@San Antonio,,Portland@Dallas,,,,,,,Portland@Houston,Portland@Memphis,,,,,Portland@LAC,,,,,,,,Portland@Utah,,Portland@Oakland,,,,,Portland@Sacramento,,,,,,,,,,,,Portland@Denver,Portland@Sacramento,,,,,,,Portland@Utah,Portland@OKC,,Portland@Phoenix,,,,,,,,,,,,,,,,,Portland@Dallas,Portland@OKC,,,,,,,,,,Portland@Brooklyn,,Portland@Philedelphia,,Portland@Cleveland,,Portland@Boston,,Portland@Toronto,,Portland@Charlotte,,Portland@Memphis,,,,,,,Portland@LAC,,,Portland@New Orleans,Portland@San Antonio,,,,,,,,,,,Portland@Chicago,,Portland@Atlanta,Portland@Detroit,,Portland@Minneapolis,,,,Portland@Denver,,,,Portland@LAL,,,,,,,,,,,,
Sacramento,,,,Sacramento@New Orleans,,Sacramento@OKC,,Sacramento@Denver,,,,,,Sacramento@Miami,Sacramento@Orlando,,Sacramento@Atlanta,,,Sacramento@Milwakee,,,,,,,,,,,,Sacramento@Memphis,Sacramento@Houston,,,,Sacramento@Utah,,,Sacramento@Oakland,,,,,,,,,,Sacramento@Phoenix,,,Sacramento@Cleveland,Sacramento@Indianapolis,,Sacramento@Chicago,,,,,,Sacramento@Dallas,Sacramento@Minneapolis,,,,,,,,,Sacramento@LAC,,,,Sacramento@LAL,,,,,,,,,Sacramento@Phoenix,,,,,,,,,Sacramento@Charlotte,,Sacramento@Detroit,,Sacramento@Brooklyn,Sacramento@Toronto,,,Sacramento@Memphis,,Sacramento@LAC,,,,,,,,,,,,,,,,,Sacramento@Denver,,,,,,,,Sacramento@Oakland,,Sacramento@OKC,,Sacramento@Minneapolis,,,,,,,,,,,,Sacramento@New York,,Sacramento@Washington,,,Sacramento@Boston,Sacramento@Philedelphia,,,,,,,,,Sacramento@LAL,,Sacramento@Dallas,,Sacramento@New Orleans,,Sacramento@Houston,Sacramento@San Antonio,,,,,Sacramento@Utah,,,,,Sacramento@Portland,,,,,,,,,,,
Oakland,,,,Oakland@Utah,,Oakland@Denver,,,,,Oakland@New York,,Oakland@Brooklyn,Oakland@Chicago,,,,,,,,,,,,,,Oakland@LAC,,,Oakland@Houston,,Oakland@Dallas,Oakland@San Antonio,,,,,,,,,,,Oakland@Toronto,,Oakland@Detroit,,Oakland@Atlanta,,Oakland@Cleveland,,Oakland@Milwakee,,,,,,,Oakland@Sacramento,,,,,Oakland@Utah,,,,,,,,,,Oakland@Portland,,Oakland@Phoenix,,,,,Oakland@Sacramento,,,,,,,,Oakland@Dallas,,Oakland@Denver,,,Oakland@LAC,,,Oakland@LAL,,,Oakland@Washington,,Oakland@Boston,,Oakland@Indianapolis,,,,,,,,,,,Oakland@Phoenix,,,,,Oakland@Portland,,,,,,,,,,,,Oakland@Charlotte,,Oakland@Miami,Oakland@Orlando,,Oakland@Philedelphia,,,,,,,,,,,Oakland@Houston,,,Oakland@OKC,,Oakland@San Antonio,Oakland@Minneapolis,,,,,,,,Oakland@Memphis,,Oakland@Minneapolis,,,,,,Oakland@LAL,,,,,Oakland@New Orleans,Oakland@Memphis,,,,,,,,,,,
LAC,,,,,,,,LAC@New Orleans,,,LAC@Houston,,,,LAC@OKC,,LAC@Philedelphia,LAC@Orlando,,,,,,LAC@Portland,,,,,,,,,LAC@Brooklyn,,LAC@Atlanta,LAC@Washington,,,,,LAC@Portland,,,,LAC@Sacramento,,,LAC@Dallas,LAC@New Orleans,,LAC@Memphis,,,,,LAC@Phoenix,,,LAC@San Antonio,,LAC@OKC,,,,,,,,LAC@Oakland,,,,,LAC@LAL,,,,,,,LAC@Phoenix,,,,,,LAC@Denver,,,,,,,,,,LAC@San Antonio,,LAC@Dallas,LAC@Miami,,LAC@Chicago,,,,,,,,LAC@Detroit,LAC@Toronto,,LAC@Charlotte,,LAC@Indianapolis,,LAC@Boston,,LAC@Minneapolis,,,,,,,,,,,LAC@Memphis,,LAC@Denver,,,LAC@Utah,,LAC@Sacramento,,,LAC@LAL,,,,,,,,,,,,,,,,,,LAC@Cleveland,,LAC@New York,,LAC@Minneapolis,,LAC@Milwakee,,,,,,,,,,LAC@Oakland,,,,,,,,,,,,,,
LAL,,,LAL@Portland,,,,,,LAL@Phoenix,,,LAL@San Antonio,,LAL@Minneapolis,,,,,LAL@Portland,,,,,,,LAL@Sacramento,,,,,,,LAL@Orlando,LAL@Miami,,,LAL@Cleveland,,,,,,LAL@Denver,,,,,,,,,,LAL@San Antonio,LAL@Memphis,,,,,LAL@Houston,,LAL@Charlotte,LAL@Washington,,LAL@Brooklyn,,,,,,,LAL@Oakland,,LAL@Sacramento,,,,,,,,,,LAL@Minneapolis,LAL@Dallas,,,,LAL@Utah,,,,,,LAL@OKC,,LAL@Houston,,,,,,,,,,,,LAL@LAC,,LAL@Oakland,,,LAL@Indianapolis,,LAL@Boston,,,LAL@Philedelphia,,LAL@Atlanta,,,,,,,,,,,LAL@New Orleans,,LAL@Memphis,,,,,LAL@Phoenix,,,,,,,,,,LAL@Chicago,,LAL@Toronto,LAL@Detroit,,LAL@New York,,LAL@Milwakee,,,,,,,,LAL@Utah,,,,LAL@New Orleans,,LAL@OKC,,,LAL@LAC,,,,,,,,,,,,,,,,
Phoenix,,,,,Phoenix@Denver,,Phoenix@Oakland,,,,,Phoenix@Memphis,Phoenix@OKC,,,,,,,,,,,,,Phoenix@New Orleans,,Phoenix@OKC,,,,,,,Phoenix@Philedelphia,,Phoenix@Chicago,,Phoenix@Milwakee,,Phoenix@Detroit,,,Phoenix@LAC,,,,Phoenix@LAL,,,,Phoenix@Portland,,,,,Phoenix@San Antonio,,,,,,Phoenix@New York,,Phoenix@Boston,,,Phoenix@Washington,Phoenix@Brooklyn,,,Phoenix@Orlando,,,,,,,,,,,,,,Phoenix@Dallas,,,,,,Phoenix@Indianapolis,,Phoenix@Toronto,,Phoenix@Charlotte,Phoenix@Minneapolis,,,,,Phoenix@Denver,,Phoenix@LAL,,Phoenix@San Antonio,,,,,,,,Phoenix@Utah,,,,Phoenix@Sacramento,,,Phoenix@LAC,,,,,,,,Phoenix@Cleveland,,Phoenix@Atlanta,,Phoenix@Miami,,,,,,,,,,,,Phoenix@Portland,Phoenix@Oakland,,,,,Phoenix@Houston,Phoenix@New Orleans,,,,,,,Phoenix@Sacramento,,Phoenix@Utah,,,,,,,,,,,,,Phoenix@Houston,,Phoenix@Dallas,,,,,,,,,,,,
Utah,,Utah@Sacramento,,,,,,,Utah@Houston,,,Utah@New Orleans,Utah@Dallas,,,Utah@Minneapolis,,,Utah@Denver,,,,,,,,,Utah@Memphis,,Utah@Dallas,,Utah@Philedelphia,Utah@Boston,,Utah@Indianapolis,,,,Utah@LAL,,Utah@Sacramento,,,Utah@Brooklyn,,Utah@Charlotte,,Utah@Miami,,,,,,,Utah@San Antonio,Utah@OKC,,,,,Utah@Orlando,,Utah@Houston,,,,Utah@Portland,,,,,,,,,,,Utah@Toronto,,,Utah@Cleveland,Utah@Detroit,,Utah@Milwakee,,,,,,,,,Utah@LAC,,,,,,,,,,,Utah@Minneapolis,,,Utah@Portland,,,,,,,,,,,,,Utah@Oakland,,,,,,,,,,Utah@OKC,,,,,,Utah@Denver,,,,,,Utah@New Orleans,,Utah@Memphis,,,,,Utah@Phoenix,,,,,Utah@Washington,,Utah@New York,Utah@Atlanta,,Utah@Chicago,,,,,,,,,,,Utah@Phoenix,,,,Utah@LAL,,,Utah@LAC,,,,,,,,,,,
Denver,,Denver@LAC,,,,,,,,Denver@LAL,,,,,,Denver@Chicago,Denver@Cleveland,,,,,,Denver@Memphis,,,,,,,,,,Denver@New Orleans,,Denver@Milwakee,,Denver@Minneapolis,,,Denver@OKC,,,,,,Denver@Portland,,,Denver@Toronto,,Denver@Orlando,,Denver@Charlotte,Denver@Atlanta,,,,,,,,,,,,,,Denver@LAC,,,,Denver@San Antonio,,,Denver@Phoenix,,,,,Denver@Sacramento,,,,Denver@Houston,Denver@Miami,,,,Denver@Phoenix,,,,,,,,,,,Denver@Utah,,,,,Denver@Memphis,,Denver@New Orleans,,,Denver@Minneapolis,,Denver@Detroit,,Denver@Brooklyn,,Denver@Philedelphia,,,,,,,,,,,,,,Denver@Dallas,,,,,,,,,,Denver@San Antonio,,Denver@LAL,,Denver@Oakland,,,,,,,,,,Denver@Boston,,,Denver@Washington,Denver@New York,,Denver@Indianapolis,,,,Denver@Houston,Denver@OKC,,,,Denver@Oakland,,,,,Denver@Portland,,Denver@Utah,,,,,,,,,,,,
OKC,OKC@Oakland,,,OKC@LAC,,,,,,,,,,,,,OKC@Charlotte,OKC@Washington,,,,,OKC@Cleveland,,,OKC@Dallas,,,,,,,OKC@Phoenix,,OKC@Sacramento,,OKC@Oakland,,,,,,,,,,,,OKC@Detroit,,OKC@Brooklyn,,OKC@Chicago,,,,,OKC@New Orleans,,OKC@Denver,,,,,OKC@Sacramento,,,OKC@Utah,,,OKC@Houston,,,OKC@Phoenix,,OKC@Dallas,,,OKC@LAL,,OKC@Portland,,,,,,OKC@San Antonio,,,,,OKC@Atlanta,,,,OKC@Philedelphia,,OKC@New York,,,,,,,,OKC@Orlando,,,OKC@Miami,,OKC@Boston,,,,,,OKC@Houston,,,,,OKC@New Orleans,,,,,,,,,,,,OKC@Denver,,,,OKC@San Antonio,,,OKC@Minneapolis,,OKC@Portland,OKC@LAC,,,OKC@Utah,,,OKC@Indianapolis,,,,,,,,OKC@Toronto,,,OKC@Memphis,,,,,,,,,,,,,OKC@Minneapolis,,,OKC@Milwakee,,,,,,,,,,,
Dallas,,Dallas@Phoenix,,,,,,,Dallas@Atlanta,,Dallas@Toronto,,,Dallas@San Antonio,,Dallas@LAL,,,,,,,Dallas@Utah,,,,,Dallas@Chicago,,,,,,,Dallas@Memphis,,,,,,,,,Dallas@Houston,,Dallas@LAL,,,,,Dallas@New Orleans,,,,,,,,Dallas@Phoenix,,,,,Dallas@Denver,,Dallas@LAC,,Dallas@Oakland,Dallas@Portland,,,,,Dallas@New Orleans,,,Dallas@OKC,,Dallas@Charlotte,,Dallas@Boston,Dallas@Philedelphia,,,,,,Dallas@Minneapolis,,,,,,,,Dallas@Indianapolis,,Dallas@Milwakee,,,,,,,,,Dallas@New York,Dallas@Detroit,,Dallas@Cleveland,,,,,,,,,Dallas@Houston,,,,,,,,,,,,Dallas@Utah,,Dallas@LAC,,,,,,,Dallas@Brooklyn,,Dallas@Washington,,Dallas@Orlando,,,,,,Dallas@Denver,,,,,,Dallas@Portland,Dallas@Sacramento,,Dallas@Oakland,,,,,Dallas@Miami,,,Dallas@OKC,,,,,,,Dallas@Memphis,,,Dallas@San Antonio,,,,,,,,,,,
