prev_team,Boston,Toronto,New York,Philedelphia,Brooklyn,Cleveland,Milwakee,Chicago,Indianapolis,Detroit,Washington,Atlanta,Miami,Charlotte,Orlando,Utah,OKC,Portland,Denver,Minneapolis,Oakland,LAC,LAL,Sacramento,Phoenix,San Antonio,Houston,Dallas,New Orleans,Memphis
Boston,0,430.26,190.42,270.99,190.42,550.17,856.29,849.52,806.44,612.31,394.19,937.08,1259.9,721.36,1117.04,2095.86,1494.46,2535.63,1767.47,1122.07,2687.58,2593.78,2593.78,2627.82,2297.74,1767.05,1605.76,1550.88,1359.83,1135.88
Toronto,430.26,0,342.42,335.8,342.42,189.87,430.65,436.18,440.87,206.61,350.17,736.06,1238.41,588.01,1051.35,1666.77,1116.98,2110.64,1344.32,692.25,2258.44,2173.74,2173.74,2198.28,1888.92,1441.38,1302.79,1204.7,1115.3,817.8
New York,190.42,342.42,0,80.63,0,404.26,732.86,711.83,644.43,481.1,203.78,746.68,1093.57,531.62,940,1969.87,1325.8,2441.83,1629.23,1017.49,2560.26,2448.3,2448.3,2502.56,2142.22,1583.17,1419.15,1372.11,1169.68,954.25
Philedelphia,270.99,335.8,80.63,0,80.63,358.48,692.95,664.37,583.45,442.04,123.4,666.21,1023.64,451.12,865.2,1922.38,1258.15,2408.42,1576.54,984.19,2511.28,2390.88,2390.88,2454.61,2080.24,1506.91,1341.34,1298.87,1089.5,879.83
Brooklyn,190.42,342.42,0,80.63,0,404.26,732.86,711.83,644.43,481.1,203.78,746.68,1093.57,531.62,940,1969.87,1325.8,2441.83,1629.23,1017.49,2560.26,2448.3,2448.3,2502.56,2142.22,1583.17,1419.15,1372.11,1169.68,954.25
Cleveland,550.17,189.87,404.26,358.48,404.26,0,335.23,307.65,263.08,90.28,304.38,555.95,1091.97,436.3,896.7,1566.07,950.91,2051.99,1225.44,630.02,2156.14,2047.15,2047.15,2098.68,1747.65,1258.13,1115.46,1025.89,925.92,630.64
Milwakee,856.29,430.65,732.86,692.95,732.86,335.23,0,81.52,243.72,251.91,634.86,670.13,1272.18,659.44,1066.9,1240.55,733.36,1716.85,913.67,298.34,1832.11,1743.32,1743.32,1773.07,1463.7,1109.58,1007.05,858.69,913.17,484.58
Chicago,849.52,436.18,711.83,664.37,711.83,307.65,81.52,0,165.01,237.3,594.19,589.41,1192.7,588.16,987.3,1258.54,693.21,1756.41,919.23,354.97,1848.5,1744.26,1744.26,1791.09,1453.36,1053.96,942.93,805.55,836.16,483.43
Indianapolis,806.44,440.87,644.43,583.45,644.43,263.08,243.72,165.01,0,240.36,491.37,427.74,1028.46,428.49,823.19,1355.1,689.06,1883.06,999.61,511.22,1938.68,1807.82,1807.82,1884.27,1497.84,1000.72,866.79,764.45,714.26,384.24
Detroit,612.31,206.61,481.1,442.04,481.1,90.28,251.91,237.3,240.36,0,394.34,598.12,1157.56,505.51,958.63,1490.07,910.39,1966.43,1155.61,542.74,2081.16,1981.51,1981.51,2022.79,1689.34,1239.75,1107.07,1000.38,941.14,623.64
Washington,394.19,350.17,203.78,123.4,203.78,304.38,634.86,594.19,491.37,394.34,0,542.9,927.61,329.98,759.22,1843.59,1150.73,2349.74,1490.8,932.27,2429.25,2296.67,2296.67,2374.18,1979.79,1387.27,1219.93,1183.33,966.1,763.26
Atlanta,937.08,736.06,746.68,666.21,746.68,555.95,670.13,589.41,427.74,598.12,542.9,0,607.07,226.47,401.98,1582.38,756.22,2171.18,1211.39,908.99,2129.75,1934.84,1934.84,2084.55,1590.43,882.41,701.86,720.42,424.76,337.06
Miami,1259.9,1238.41,1093.57,1023.64,1093.57,1091.97,1272.18,1192.7,1028.46,1157.56,927.61,607.07,0,655.87,205.49,2089.83,1227.6,2708.33,1727.17,1515.52,2586.04,2338.21,2338.21,2550.75,1981.07,1148.86,968.43,1111.41,669.73,874.83
Charlotte,721.36,588.01,531.62,451.12,531.62,436.3,659.44,588.16,428.49,505.51,329.98,226.47,655.87,0,463.73,1725.61,939.73,2287.46,1357.17,939.61,2291.16,2117.38,2117.38,2242.13,1780.71,1105.02,926.79,929.35,649.47,520.25
Orlando,1117.04,1051.35,940,865.2,940,896.7,1066.9,987.3,823.19,958.63,759.22,401.98,205.49,463.73,0,1917.77,1059.1,2528.4,1550.94,1310.86,2432.01,2200.01,2200.01,2393.41,1844.53,1036.46,848.86,962,533.5,684.02
Utah,2095.86,1666.77,1969.87,1922.38,1969.87,1566.07,1240.55,1258.54,1355.1,1490.07,1843.59,1582.38,2089.83,1725.61,1917.77,0,862.31,635.46,371,985.71,591.72,580.29,580.29,532.73,505.9,1088.27,1200.4,1000,1434.14,1249.01
OKC,1494.46,1116.98,1325.8,1258.15,1325.8,950.91,733.36,693.21,689.06,910.39,1150.73,756.22,1227.6,939.73,1059.1,862.31,0,1486.27,504.73,694.82,1379.42,1179.76,1179.76,1337.64,841.14,421.89,414.07,190.63,577.02,421.99
Portland,2535.63,2110.64,2441.83,2408.42,2441.83,2051.99,1716.85,1756.41,1883.06,1966.43,2349.74,2171.18,2708.33,2287.46,2528.4,635.46,1486.27,0,982.23,1424.7,534.32,827.34,827.34,483.96,1006.96,1720.59,1835.83,1633.24,2062.4,1847.9
Denver,1767.47,1344.32,1629.23,1576.54,1629.23,1225.44,913.67,919.23,999.61,1155.61,1490.8,1211.39,1727.17,1357.17,1550.94,371,504.73,982.23,0,699.31,939.99,830.78,830.78,887.53,586.2,803.14,879.38,663.32,1081.69,878.44
Minneapolis,1122.07,692.25,1017.49,984.19,1017.49,630.02,298.34,354.97,511.22,542.74,932.27,908.99,1515.52,939.61,1310.86,985.71,694.82,1424.7,699.31,0,1575,1523.12,1523.12,1513.04,1279.91,1113.12,1058.83,864.89,1053.86,700.66
Oakland,2687.58,2258.44,2560.26,2511.28,2560.26,2156.14,1832.11,1848.5,1938.68,2081.16,2429.25,2129.75,2586.04,2291.16,2432.01,591.72,1379.42,534.32,939.99,1575,0,343.79,343.79,68.36,647.14,1481.86,1636.63,1474.68,1916.58,1792.69
LAC,2593.78,2173.74,2448.3,2390.88,2448.3,2047.15,1743.32,1744.26,1807.82,1981.51,2296.67,1934.84,2338.21,2117.38,2200.01,580.29,1179.76,827.34,830.78,1523.12,343.79,0,0,361.85,357.23,1202.93,1372.44,1239.15,1671.28,1601.74
LAL,2593.78,2173.74,2448.3,2390.88,2448.3,2047.15,1743.32,1744.26,1807.82,1981.51,2296.67,1934.84,2338.21,2117.38,2200.01,580.29,1179.76,827.34,830.78,1523.12,343.79,0,0,361.85,357.23,1202.93,1372.44,1239.15,1671.28,1601.74
Sacramento,2627.82,2198.28,2502.56,2454.61,2502.56,2098.68,1773.07,1791.09,1884.27,2022.79,2374.18,2084.55,2550.75,2242.13,2393.41,532.73,1337.64,483.96,887.53,1513.04,68.36,361.85,361.85,0,634.96,1457.62,1607.7,1439.59,1882.09,1747.67
Phoenix,2297.74,1888.92,2142.22,2080.24,2142.22,1747.65,1463.7,1453.36,1497.84,1689.34,1979.79,1590.43,1981.07,1780.71,1844.53,505.9,841.14,1006.96,586.2,1279.91,647.14,357.23,357.23,634.96,0,847.63,1015.32,885.53,1314.67,1261.47
San Antonio,1767.05,1441.38,1583.17,1506.91,1583.17,1258.13,1109.58,1053.96,1000.72,1239.75,1387.27,882.41,1148.86,1105.02,1036.46,1088.27,421.89,1720.59,803.14,1113.12,1481.86,1202.93,1202.93,1457.62,847.63,0,189.32,252.72,507.29,632.55
Houston,1605.76,1302.79,1419.15,1341.34,1419.15,1115.46,1007.05,942.93,866.79,1107.07,1219.93,701.86,968.43,926.79,848.86,1200.4,414.07,1835.83,879.38,1058.83,1636.63,1372.44,1372.44,1607.7,1015.32,189.32,0,225.04,318.09,485
Dallas,1550.88,1204.7,1372.11,1298.87,1372.11,1025.89,858.69,805.55,764.45,1000.38,1183.33,720.42,1111.41,929.35,962,1000,190.63,1633.24,663.32,864.89,1474.68,1239.15,1239.15,1439.59,885.53,252.72,225.04,0,442.58,420.37
New Orleans,1359.83,1115.3,1169.68,1089.5,1169.68,925.92,913.17,836.16,714.26,941.14,966.1,424.76,669.73,649.47,533.5,1434.14,577.02,2062.4,1081.69,1053.86,1916.58,1671.28,1671.28,1882.09,1314.67,507.29,318.09,442.58,0,359.58
Memphis,1135.88,817.8,954.25,879.83,954.25,630.64,484.58,483.43,384.24,623.64,763.26,337.06,874.83,520.25,684.02,1249.01,421.99,1847.9,878.44,700.66,1792.69,1601.74,1601.74,1747.67,1261.47,632.55,485,420.37,359.58,0
